,Diplome,Entreprise,Experience,Technologies,Ville,Metier
9322,master,"Alteryx, Inc.",3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Paris,3
503,bachelor,Merrimack Pharmaceuticals,3.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Toulouse,2
8066,phd,Massachusetts General Hospital(MGH),2.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Paris,2
4703,phd,Ball Aerospace,3.0,"['Spark', 'Python', 'Scala']",Bordeaux,1
9447,phd,Conversion Logic,0.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
4683,phd,General Electric,3.0,"['Python', 'Java', 'Linux', 'GNU']",Marseille,1
566,no diploma,Ball Aerospace,1.0,"['Spark', 'Python']",Grenoble,0
5478,bsc,Ball Aerospace,1.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Lyon,2
8264,bachelor,QuantumBlack,4.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Rouen,2
11,msc,R&D Partners,3.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Rouen,3
8351,phd,Ball Aerospace,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,2
2807,master,Ball Aerospace,7.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Lyon,0
9131,phd,Google,0.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Lyon,2
2867,master,"The Hagan-Ricci Group, Inc.",0.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Lyon,1
2034,phd,Ball Aerospace,1.0,"['SPSS', 'SQL', 'Teradata', 'R', 'Python', 'Tensorflow', 'scikit-learn']",Paris,2
19,no diploma,Ball Aerospace,1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
8107,msc,"Lionshare Lending, LLC",1.0,"['Java', 'Linux', 'GNU', 'Docker']",Lyon,1
8119,msc,Ball Aerospace,0.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Paris,2
4292,bachelor,Tempus,1.0,"['Python', 'Spark', 'GNU', 'Linux']",Strasbourg,1
9402,msc,DataRobot,0.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Lyon,0
4229,bachelor,Spotify,1.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Paris,2
9157,master,Amazon.com,3.0,"['Spark', 'Python']",Toulouse,0
4417,bachelor,Ball Aerospace,1.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Lille,1
3721,master,IDEO,1.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Bordeaux,1
6060,msc,Equifax,3.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Bordeaux,1
9506,master,The Boston Consulting Group,2.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Lyon,2
5001,master,Ball Aerospace,1.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Paris,1
8911,bachelor,Penn Schoen Berland,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Marseille,2
1639,master,ConAgra Foods,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Bordeaux,1
9443,bsc,Center for the Study of Services,3.0,"['Spark', 'Python', 'Scala']",Marseille,1
1251,bachelor,Ball Aerospace,1.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Lyon,3
1697,master,Ball Aerospace,1.0,"['Spark', 'Python', 'Scala']",Paris,1
4325,msc,Acadian Asset,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Lyon,2
1056,master,Ball Aerospace,1.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Strasbourg,1
8276,phd,USC,7.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Toulouse,2
3804,phd,Ball Aerospace,5.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Nantes,2
2370,master,Noblis,4.0,"['Elasticsearch', 'Kibana', 'Redshift']",Lille,0
5082,phd,Accenture,2.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Marseille,2
3385,bachelor,Ball Aerospace,0.0,"['Elasticsearch', 'Kibana', 'Redshift']",Toulon,0
6929,msc,SSC,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Toulouse,0
2069,phd,Foghorn Systems,2.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Lyon,2
4675,no diploma,Ball Aerospace,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Toulouse,0
9381,master,The University of Chicago,0.0,"['Java', 'Linux', 'GNU', 'Docker']",Montpellier,1
1860,phd,Ball Aerospace,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Rennes,3
7424,phd,SunTrust,4.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Montpellier,0
8585,msc,Ball Aerospace,2.0,"['Elasticsearch', 'Kibana', 'Redshift']",Rouen,0
2810,msc,Ball Aerospace,3.0,"['SQL', 'R', 'Python', '', 'Big data']",Toulouse,2
4956,bsc,EY,0.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
6414,msc,Ball Aerospace,7.0,"['Hadoop(HDFS)', 'Elasticsearch']",Lyon,0
3903,master,DV Trading LLC,1.0,"['MariaDB', 'MongoDB', 'NoSQ', 'SQL', 'Hadoop', 'Hive']",Rouen,1
1190,msc,Ball Aerospace,2.0,"['Linux', 'Python', 'Hadoop', 'Perl', 'Ruby']",Rennes,1
943,no diploma,"Pandora Media, Inc.",4.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Marseille,1
6680,msc,Decision Resources Group,2.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Paris,1
4322,phd,Rubius Therapeutics,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Lille,2
1557,phd,Harnham,3.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Paris,2
3871,master,The University of Chicago,0.0,"['Java', 'Linux', 'Docker']",Lyon,0
4113,bsc,Ball Aerospace,3.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Nantes,3
7099,bsc,Cedars-Sinai Medical Center,3.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
4011,master,Charles River Analytics,1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Paris,3
2338,master,RAND Corporation,1.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Marseille,1
145,msc,HUB International,3.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Toulouse,2
2925,no diploma,The Boston Consulting Group,1.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Toulouse,1
3254,master,Ball Aerospace,1.0,"['Java', 'Linux', 'Docker']",Rouen,0
1729,bachelor,Ball Aerospace,0.0,"['Spark', 'Python']",Paris,0
7836,phd,MJK Concepts,7.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,2
4514,master,Twitter,1.0,"['MariaDB', 'MongoDB', 'NoSQ', 'SQL', 'Hadoop', 'Hive']",Marseille,1
688,master,University of Texas at Austin,3.0,"['Elasticsearch', 'Kibana', 'Redshift']",Paris,0
5084,msc,Natera,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Toulouse,1
7476,master,Ball Aerospace,3.0,"['C', 'C++', 'Java', 'Python']",Bordeaux,3
1062,master,The Henry M. Jackson Foundation,0.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Marseille,1
950,no diploma,TVision Insights,3.0,"['Java', 'Python', 'Linux']",Rennes,0
9295,phd,Piedmont Healthcare,8.0,"['Python', 'Java', 'Scala', 'MongoDB']",Paris,0
8971,bsc,Oncorus,0.0,"['SQL', 'R', 'Python', '', 'Big data']",Bordeaux,2
86,bachelor,The Catholic University of America,5.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
3606,master,Howard Hughes Medical Institute,0.0,"['Excel', 'VBA', 'R']",Lille,3
3052,msc,Children's Healthcare of Atlanta,7.0,"['C', 'C++', 'Java', 'Python']",Marseille,0
3475,master,Amazon.com,1.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Lille,2
2487,phd,Accenture,4.0,"['MongoDB', 'SQL', 'Docker']",Marseille,0
8012,phd,Ball Aerospace,3.0,"['VBA', 'Python', 'Excel', 'R']",Lille,2
288,bsc,Midaxo,0.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,2
477,msc,Georgia Tech Research Institute,1.0,"['Python', 'Spark', 'GNU', 'Linux']",Nantes,1
2862,master,Ball Aerospace,0.0,"['Hadoop(HDFS)', 'Elasticsearch']",Lyon,0
1300,phd,Jobspring Partners,3.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Bordeaux,2
5954,msc,Georgia Tech Research Institute,3.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,3
7914,master,Jacobs,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,2
5383,master,CMTC,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Bordeaux,2
7089,bachelor,Merck,3.0,"['Java', 'C', 'C++', 'R', 'Python']",Paris,3
4518,master,Visa,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,2
6885,bsc,Equifax,1.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Marseille,3
2281,master,Ball Aerospace,2.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Lille,1
5278,phd,Ball Aerospace,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Lyon,2
998,bachelor,Ball Aerospace,0.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Bordeaux,0
6428,msc,Acadian Asset,1.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Lille,1
4023,phd,Sonic Healthcare USA,3.0,"['Excel', 'VBA', 'R']",Strasbourg,2
6000,master,University of Colorado Boulder,0.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Bordeaux,0
935,bachelor,The Climate Corporation,2.0,"['Python', 'Pyspark', 'Spark']",Lyon,1
1396,master,Ball Aerospace,4.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,2
5388,phd,Clockwork Solutions,4.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Toulouse,2
6925,master,Accenture,3.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Nice,3
8734,master,Dataiku,3.0,"['SQL', 'R', 'Python', '', 'Big data']",Rennes,3
7932,no diploma,Aptiv,1.0,"['Java', 'Python', 'Linux']",Marseille,0
9473,master,Civis Analytics,1.0,"['C', 'C++', 'Java', 'Python']",Bordeaux,0
838,msc,Ball Aerospace,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Bordeaux,3
2743,bachelor,Takeda Pharmaceutical,1.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Lille,0
5600,phd,Lennon Wright,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,2
2541,msc,GB HealthWatch,0.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Paris,1
8993,master,Cedars-Sinai,7.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
3196,master,University of Colorado,0.0,"['R', 'machine learning', 'Excel', 'VBA']",Marseille,3
2335,phd,DNAnexus,1.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Toulon,2
2906,master,Pfizer,1.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Lyon,2
8476,bachelor,Mathematica Policy Research,3.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Paris,2
4211,master,Takeda Pharmaceutical,0.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Marseille,2
4345,no diploma,R&D Partners,0.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Rennes,0
3048,msc,Yumanity,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Lyon,2
3001,master,University of Texas at Austin,1.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Lyon,1
1113,bachelor,Karen Clark & Company,4.0,"['C', 'C++', 'Java', 'Python']",Lyon,0
305,master,Ball Aerospace,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Marseille,2
4369,phd,Central Intelligence Agency,1.0,"['Excel', 'VBA', 'R']",Marseille,2
6596,msc,Guidehouse,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Paris,2
8485,phd,NOKIA,1.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Nantes,2
4972,phd,Autodesk,4.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Lyon,2
7238,bachelor,Ball Aerospace,4.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Lille,2
4154,phd,Edelman & Associates,0.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Rouen,2
5569,no diploma,Harvard Pilgrim Health Care,7.0,"['Spark', 'Python']",Marseille,0
6561,bachelor,Bank of America,6.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Paris,3
3561,no diploma,Harvard University,1.0,"['Elasticsearch', 'Kibana', 'Redshift']",Paris,0
1704,msc,AstraZeneca,1.0,"['Spark', 'Python']",Lyon,0
4205,master,The Climate Corporation,3.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Marseille,1
6353,bsc,Cubic Corporation,1.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Lyon,2
9211,master,Ball Aerospace,0.0,"['Python', 'Tensorflow', 'R', 'Big data']",Marseille,2
1445,msc,Inzone,1.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Marseille,0
5717,phd,Ball Aerospace,0.0,"['VBA', 'Python', 'Excel', 'R']",Nantes,2
92,master,JP Morgan Chase,1.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Paris,2
8031,phd,Tempus,1.0,"['Python', 'Java', 'Linux', 'GNU']",Nantes,1
8826,phd,Takeda Pharmaceutical,8.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Paris,3
6311,master,Perspecta,1.0,"['Java', 'Python', 'Linux']",Paris,0
3867,msc,Nucleus Research,1.0,"['Java', 'Linux', 'Docker']",Lille,0
2486,no diploma,Dematic,1.0,"['Elasticsearch', 'Kibana', 'Redshift']",Paris,0
6805,master,Harnham,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Strasbourg,3
1566,msc,Ball Aerospace,2.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Marseille,2
4330,master,Anaconda,1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
8100,phd,Ball Aerospace,0.0,"['Excel', 'VBA', 'R']",Paris,2
5869,no diploma,Edelman & Associates,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Paris,0
605,msc,WestRock,1.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Bordeaux,0
4993,phd,KPMG,2.0,"['Python', 'Pyspark', 'Spark']",Lille,1
3362,no diploma,Ball Aerospace,4.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Marseille,0
961,phd,TetraScience,2.0,"['Java', 'C', 'C++', 'R', 'Python']",Bordeaux,2
466,master,Massachusetts General Hospital(MGH),5.0,"['Python', 'Tensorflow', 'R', 'Big data']",Rennes,3
3031,master,Schireson,8.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Toulouse,3
9086,phd,Amazon.com,3.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Paris,2
6740,msc,EnerNOC,2.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Strasbourg,2
7700,master,Ball Aerospace,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,2
1269,master,Ball Aerospace,4.0,"['C', 'C++', 'Java', 'Python']",Bordeaux,0
9532,phd,Civis Analytics,2.0,"['Spark', 'Python', 'Scala']",Lille,1
4633,msc,Penn Schoen Berland,0.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Rouen,1
4916,master,JD.com,1.0,"['VBA', 'Python', 'Excel', 'R']",Paris,2
6604,phd,"Pandora Media, Inc.",7.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Marseille,3
3633,master,Engage Partners,1.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Strasbourg,1
5216,bachelor,Ball Aerospace,4.0,"['Java', 'Linux', 'Docker']",Marseille,0
8423,master,Ball Aerospace,2.0,"['Spark', 'Python']",Marseille,0
7814,msc,BlackLocus,0.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Marseille,0
9452,master,Perspecta,2.0,"['Spark', 'Python', 'Scala']",Marseille,1
7798,phd,USC,8.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Paris,2
338,msc,Valassis Digital,2.0,"['Python', 'Java', 'Linux', 'GNU']",Paris,1
8760,master,Ball Aerospace,0.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Nice,1
4743,no diploma,Career Movement,5.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Bordeaux,1
7324,msc,Ball Aerospace,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Toulouse,3
7130,msc,Takeda Pharmaceutical,1.0,"['R', 'Python', 'SQL', 'Teradata', 'Big data']",Lyon,2
389,master,KPMG,1.0,"['AWS', 'Python', 'C', 'C++', 'Docker']",Paris,1
7753,bachelor,Cedars-Sinai,0.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
3521,master,Amgen,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Marseille,2
6059,master,Jacobs,0.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Toulouse,2
436,master,AmeriCorps,0.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Rouen,2
5,master,S&P Global Ratings,6.0,"['VBA', 'Python', 'Excel', 'R']",Lille,3
8782,phd,Goldfinch Bio,5.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Paris,2
2160,master,Pluralsight,1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Nantes,1
9318,msc,The University of Chicago,0.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Marseille,2
2157,master,Ball Aerospace,3.0,"['C', 'C++', 'Java', 'Python']",Lille,2
3082,phd,Ball Aerospace,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,3
583,no diploma,Emory University,3.0,"['Python', 'Pyspark', 'Spark']",Lyon,1
7759,phd,KPMG,1.0,"['C', 'C++', 'Java', 'Python']",Lille,2
2882,no diploma,Tessella,1.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Lyon,1
3058,master,"Foundation Medicine, Inc.",1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Bordeaux,2
5379,phd,Splunk,5.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Strasbourg,3
6859,phd,Roche,0.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Marseille,2
8751,phd,Ball Aerospace,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Marseille,2
4760,msc,Amazon.com,2.0,"['Python', 'Tensorflow', 'R', 'Big data']",Marseille,2
3045,master,Ball Aerospace,1.0,"['Python', 'AWS', 'Docker']",Rennes,0
8436,master,Epsilon,2.0,"['Java', 'C', 'C++', 'R', 'Python']",Lyon,2
4739,msc,"J.Crew Group, Inc.",3.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Marseille,2
4666,master,McKinsey & Company,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Grenoble,2
5166,master,Google,0.0,"['SPSS', 'SQL', 'Teradata', 'R', 'Python', 'Tensorflow', 'scikit-learn']",Paris,2
9069,master,Broad Institute,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Paris,2
2695,msc,Ball Aerospace,3.0,"['C', 'C++', 'Java', 'Python']",Bordeaux,2
1618,master,Google,1.0,"['Spark', 'Python']",Lille,0
3,master,Ann & Robert H. Lurie Children’s Hospital of Chicago,1.0,"['C', 'C++', 'Java', 'Python']",Marseille,2
2850,master,Ball Aerospace,0.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Lyon,2
2771,master,Metropolitan Transportation Authority,6.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lille,2
5085,master,Eaton Vance,1.0,"['Python', 'Spark', 'GNU', 'Linux']",Paris,1
306,no diploma,Recorded Future,4.0,"['MariaDB', 'MongoDB', 'NoSQ', 'SQL', 'Hadoop', 'Hive']",Lyon,1
10,master,KPMG,0.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Bordeaux,1
2062,phd,Ball Aerospace,8.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Paris,0
9095,master,McKinsey & Company,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Marseille,1
1426,phd,Wunderman,2.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Marseille,3
2052,phd,Ball Aerospace,1.0,"['R', 'machine learning', 'Excel', 'VBA']",Lyon,2
4778,master,Brigham & Women's Hospital(BWH),5.0,"['SQL', 'R', 'Python', '', 'Big data']",Marseille,3
6317,master,Ball Aerospace,1.0,"['C', 'C++', 'Java', 'Python']",Lille,0
2473,master,Court Services and Offender Supervision Agency for DC,3.0,"['Spark', 'Python', 'Scala']",Bordeaux,1
1088,msc,Vertex Pharmaceuticals,3.0,"['VBA', 'Python', 'Excel', 'R']",Paris,3
9193,phd,Apple,3.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Lille,0
332,phd,General Electric,0.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Lyon,3
7020,phd,Norfolk Southern Corp,7.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Lyon,2
4646,msc,Ball Aerospace,0.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Lille,2
4569,msc,Freestar,1.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Lille,2
1894,phd,Ball Aerospace,0.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Lyon,2
160,master,JLL,1.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Toulouse,1
459,master,The Climate Corporation,6.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Lyon,2
6297,master,Ball Aerospace,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Paris,2
7490,master,Emory University,2.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Paris,0
8405,bachelor,Capgemini,2.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Rennes,0
7378,bachelor,Howard Hughes Medical Institute,1.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Lyon,3
8677,phd,Oversight Systems,8.0,"['SQL', 'R', 'Python', '', 'Big data']",Toulouse,3
506,bachelor,Jacobs,2.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Nantes,0
2961,phd,Ball Aerospace,4.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,2
4358,master,Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,1.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Rennes,2
8312,phd,McKinsey & Company,2.0,"['Java', 'Linux', 'Docker']",Rennes,0
1993,phd,Talent & Acquisition LLC,3.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Rennes,2
6130,msc,Accenture,5.0,"['SQL', 'R', 'Python', '', 'Big data']",Marseille,2
4386,master,Autodesk,3.0,"['Python', 'AWS', 'Docker']",Lyon,0
9016,phd,84.51°,2.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Paris,0
3947,master,Ball Aerospace,3.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Lyon,2
1048,phd,Ball Aerospace,2.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Marseille,2
5969,master,Oath Inc,6.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Nice,1
7633,master,HireMinds,3.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Lyon,2
1092,master,Ball Aerospace,0.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Bordeaux,2
3649,bachelor,Ball Aerospace,0.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Bordeaux,2
4027,master,Akebia Therapeutics,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Rennes,2
6336,master,Explore Group Inc,7.0,"['VBA', 'Python', 'Excel', 'R']",Grenoble,2
9519,master,Cambridge Trust Company,8.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Rennes,3
8741,msc,Ball Aerospace,3.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Lille,3
2557,master,Ball Aerospace,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Rouen,2
2114,phd,Links Global,0.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Lille,2
2236,bachelor,FraudScope,1.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Lille,1
1794,master,American Dental Association,1.0,"['Java', 'Linux', 'Docker']",Bordeaux,0
4315,msc,Ball Aerospace,1.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Marseille,2
3452,master,Jacobs,2.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Marseille,2
1242,msc,Mindshare,1.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Rennes,2
1836,msc,Dana-Farber Cancer Institute,2.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,3
7369,no diploma,Central Intelligence Agency,6.0,"['Python', 'Java', 'Linux', 'GNU']",Lyon,1
835,master,Dyson,2.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
1501,master,Ball Aerospace,4.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Toulouse,0
9239,master,"Happy Faces Personnel Group, Inc.",6.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Toulon,2
3324,master,MassMutual,0.0,"['Python', 'Tensorflow', 'R', 'Big data']",Bordeaux,2
3787,master,Vertex,3.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Marseille,1
7025,no diploma,Partners HealthCare(PHS),4.0,"['Python', 'Spark', 'GNU', 'Linux']",Marseille,1
5225,phd,CDK Global,0.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Toulouse,0
